country, league_name, league_id
England, Premier League, 13
England, League Championship, 14
England, League One, 60
England, League Two, 61
Spain, Primera Division, 53
Spain, Segunda Division, 54
Germany, 1. Bundesliga, 19
Germany, 2. Bundesliga, 20
Germany, 3. Bundesliga, 2076
Italy, Serie A, 31
Italy, Serie B, 32
France, League 1, 16
France, League 2, 17
